id,message
581,"Throwing grapes at a man until he loses touch with reality."
582,"My Uber driver, Pavel."
583,"The Hamburglar."
584,"A stray pube."
585,"White privilege."
586,"Facebook."
587,"Pac-Man uncontrollably guzzling cum."
588,"Forced sterilization."
589,"An Oedipus complex."
590,"Scientology."
591,"My fat daughter."
592,"Active listening."
593,"Vigorous jazz hands."
594,"An M. Night Shyamalan plot twist."
595,"The rhythms of Africa."
596,"The homosexual agenda."
597,"Having big dreams but no realistic way to achieve them."
598,"A time travel paradox."
599,"Lactation."
600,"Dick fingers."
601,"Dying."
602,"My good bra."
603,"Me time."
604,"Smallpox blankets."
605,"J.D. Power and his associates."
606,"Seeing my father cry."
607,"Seppuku."
608,"Adderall.®"
609,"Hot people."
610,"Dead babies."
611,"Not reciprocating oral sex."
612,"50 mg of Zoloft daily."
613,"A bleached asshole."
614,"Flesh-eating bacteria."
615,"Itchy pussy."
616,"Foreskin."
617,"Worshipping that pussy."
618,"How far I can get my own penis up my butt."
619,"World peace."
620,"Expecting a burp and vomiting on the floor."
621,"Kamikaze pilots."
622,"Anal beads."
623,"Being rich."
624,"The Three-Fifths Compromise."
625,"Shapeshifters."
626,"Lockjaw."
627,"Getting so angry that you pop a boner."
628,"Child beauty pageants."
629,"Breaking out into song and dance."
630,"Pretending to care."
631,"Waiting till marriage."
632,"The wifi password."
633,"Being a woman."
634,"The past."
635,"Catapults."
636,"A lifetime of sadness."
637,"Going an entire day without masturbating."
638,"Dwayne ""The Rock"" Johnson."
639,"A saxophone solo."
640,"Being marginalized."
641,"The penny whistle solo from ""My Heart Will Go On."""
642,"A fart so powerful that it wakes the giants from their thousand-year slumber."
643,"My genitals."
644,"Little boy penises."
645,"Punching a congressman in the face."
646,"Some god damn peace and quiet."
647,"BATMAN!"
648,"Ruth Bader Ginsburg brutally gaveling your penis."
649,"Preteens."
650,"More elephant cock than I bargained for."
651,"Smegma."
652,"A micropenis."
653,"My ugly face and bad personality."
654,"A good sniff."
655,"Explaining how vaginas work."
656,"Genuine human connection."
657,"An old guy who's almost dead."
658,"My cheating son-of-a-bitch husband."
659,"Fox News."
660,"Being a motherfucking sorcerer."
661,"The Red Hot Chili Peppers."
662,"Holding down a child and farting all over him."
663,"The KKK."
664,"Land mines."
665,"Centaurs."
666,"Seven dead and three in critical condition."
667,"My relationship status."
668,"A mating display."
669,"Auschwitz."
670,"Used panties."
671,"Alcoholism."
672,"Sexual peeing."
673,"A windmill full of corpses."
674,"Darth Vader."
675,"Daniel Radcliffe's delicious asshole."
676,"A good, strong gorilla."
677,"Huffing spray paint."
678,"Half-assed foreplay."
679,"Nipple blades."
680,"Being able to talk to elephants."
681,"Making a pouty face."
682,"Drowning the kids in the bathtub."
683,"Emerging from the sea and rampaging through Tokyo."
684,"Hospice care."
685,"Magnets."
686,"Touching a pug right on his penis."
687,"Vladimir Putin."
688,"Spontaneous human combustion."
689,"Leprosy."
690,"Seething with quiet resentment."
691,"Explosions."
692,"Licking things to claim them as your own."
693,"Consensual sex."
694,"Getting married, having a few kids, buying some stuff, retiring to Florida, and dying."
695,"Nickelback."
696,"The Boy Scouts of America."
697,"Bananas."
698,"Masturbating."
699,"All the dues I've fucked."
700,"Famine."
701,"Hillary Clinton's emails."
702,"Executing a hostage every hour."
703,"Running out of semen."
704,"Jews, gypsies, and homosexuals."
705,"The arrival of the pizza."
706,"Goblins."
707,"Laying an egg."
708,"A bowl of mayonnaise and human teeth."
709,"A micropig wearing a tiny raincoat and booties."
710,"A bitch slap."
711,"Giving 110%."
712,"Inserting a Mason jar into my anus."
713,"A man on the brink of orgasm."
714,"A much younger woman."
