id,draw,play,message
270,0,1,"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ____."
272,0,2,"We never did find ____, but along the way we sure learned a lot about ____."
273,0,1,"Do *not* fuck with me! I am literally ____ right now."
274,0,1,"And would you like those buffalo wings mild, hot, or ____?"
275,0,1,"What's fun until it gets weird?"
276,0,1,"And today's soup is Cream of ____."
277,0,1,"Come to Dubai, where you can relax in our world-famous spas, experience the nightlife, or simply enjoy ____ by the poolside."
278,0,1,"She's up all night for good fun. I'm up all night for ____."
279,0,1,"Hi MTV! My name is Kendra, I live in Malibu, I'm into ____, and I love to have a good time."
280,0,2,"I am become ____, destroyer of ____!"
281,0,2,"____ may pass, but ____ will last forever."
282,0,2,"In the beginning, there was ____. And the Lord said, ""Let there be ____."""
283,2,3,"You guys, I saw this crazy movie last night. It opens on ____, and then there's some stuff about ____, and then it ends with ____."
284,0,2,"This year's hottest album is ""____"" by ____."
285,0,1,"""This is madness!"" "" *No.* THIS IS ____!"""
286,0,1,"It lurks in the night. It hungers for flesh. This summer, no one is safe from ____."
287,0,2,"____ will never be the same after ____."
288,0,1,"I don't mean to brag, but they call me the Michael Jordan of ____."
289,0,1,"Don't forget! Beginning this week, Casual Friday will officially become ""____ Friday."""
290,0,1,"Having the worst day EVER. #____"
291,0,1,"Why am I broke?"
292,0,1,"Wes Anderson's new film tells the story of a precocious child coming to terms with ____."
293,0,2,"Adventure. Romance. ____. From Paramount Pictures, ""____."""
294,0,2,"Patient presents with ____. Likely a result of ____."
295,0,1,"Yo' mama so fat she ____!"
296,0,1,"Now in bookstores: ""The Audacity of ____,"" by Barack Obama."
297,0,1,"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ____."
298,0,1,"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ____: priceless."
299,0,1,"Behind every powerful man is ____."
300,0,1,"Life's pretty tough in the fast lane. That's why I never leave the house without ____."
301,0,1,"You are not alone. Millions of Americans struggle with ____ every day."
302,0,1,"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ____."
303,0,2,"If you can't handle ____, you'd better stay away from ____."
304,0,1,"Man, this is bullshit. Fuck ____."
305,0,2,"In return for my soul, the Devil promised me ____, but all I got was ____."
306,0,1,"The Japanese have developed a smaller, more efficient version of ____."
307,0,1,"Do you lack energy? Does it sometimes feel like the whole world is ____? Ask your doctor about Zoloft®."
308,0,1,"I work my ass off all day for this family, and this is what I come home to? ____!?"
309,0,1,"This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ____."
310,0,1,"Dammit, Gary. You can't just solve every problem with ____."
311,0,1,"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ____."
312,0,1,"This is the prime of my life. I'm young, hot, and full of ____."
313,0,2,"Every step towards ____ gets me a little bit closer to ____."
314,0,2,"Well if ____ is good enough for ____, it's good enough for me."
315,0,1,"WHOOO! God *damn* I love ____!"
316,0,1,"You Won't Believe These 15 Hilarious ____ Bloopers!"
317,0,1,"You've seen the bearded lady! You've seen the ring of fire! Now, ladies and gentlemen, feast your eyes upon ____!"
318,0,1,"When I was a kid, we used to play Cowboys and ____."
319,0,1,"Do the Dew®; with our most extreme flavor yet! Get ready for Mountain Dew ____!"
320,0,2,"Honey, I have a new role-play I want to try tonight! You can be ____, and I'll be ____."
321,0,2,"Forget everything you know about ____, because now we've supercharged it with ____!"
322,0,1,"What's making things awkward in the sauna?"
323,0,1,"Listen, Gary, I like you. But if you want that corner office, you're going to have to show me ____."
324,0,1,"Help me doctor, I've got ____ in my butt."
325,0,2,"Oprah's book of the month is ""____ For ____: A Story of Hope."""
326,0,2,"You know, once you get past ____, ____ ain't so bad."
327,0,1,"In his farewell address, George Washington famously warned Americans about the dangers of ____."
328,0,1,"Well what do you have to say for yourself, Casey? This is the third time you've been sent to the principal's office for ____."
329,0,1,"Here at the Academy for Gifted Children, we allow students to explore ____ at their own pace."
330,0,1,"Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ____."
331,0,2,"Heed my voice, mortals! I am the god of ____, and I will not tolerate ____!"
332,0,1,"As king, how will I keep the peasants in line?"
333,0,1,"I'm sorry, sir, but we don't allow ____ at the country club."
334,0,1,"2 AM in the city that never sleeps. The door swings open and *she* walks in, legs up to here. Something in her eyes tells me she's looking for ____."
335,0,1,"I have a strict policy. First date, dinner. Second date, kiss. Third date, ____."
336,0,1,"What killed my boner?"
337,0,1,"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""____."" Can you explain?"
338,0,1,"I'm pretty sure I'm high right now, because I'm absolutely mesmerized by ____."
339,0,1,"Don't worry, kid. It gets better. I've been living with ____ for 20 years."
340,0,1,"How am I compensating for my tiny penis?"
