id,message
1574,"Khakis."
1575,"Bathing in moonsblood and dancing around the ancient oak."
1576,"The passage of time."
1577,"A one-way ticket to Gary, Indiana."
1578,"The power of the Dark Side."
1579,"A team of lawyers."
1580,"Getting eaten alive by Guy Fieri."
1581,"Figuring out how to have sex with a dolphin."
1582,"Some sort of Asian."
1583,"Vegetarian options."
1584,"An inability to form meaningful relationships."
1585,"One unforgettable night of passion."
1586,"Important news about Taylor Swift."
1587,"The all-new Nissan Pathfinder with 0.9% APR financing!"
1588,"Free ice cream, yo."
1589,"My boyfriend's stupid penis."
1590,"A mouthful of potato salad."
1591,"Our new Buffalo Chicken Dippers®!"
1592,"Crying and shitting and eat spaghetti."
1593,"A fart."
1594,"Actual mutants with medical conditions and no superpowers."
1595,"Deez nuts."
1596,"Africa."
1597,"Finally finishing off the Indians."
1598,"Owls, the perfect predator."
1599,"A dance move that's just sex."
1600,"Ass to mouth."
1601,"Bouncing up and down."
1602,"Walking into a glass door."
1603,"Eating together like a god damn family for once."
1604,"No longer finding any Cards Against Humanity card funny."
1605,"Treasures beyond your wildest dreams."
1606,"Ejaculating live bees and the bees are angry."
1607,"Sucking all the milk out of a yak."
1608,"Falling into the toilet."
1609,"The color ""puce."""
1610,"An oppressed people with a vibrant culture."
1611,"Out-of-this-world bazongas."
1612,"Getting caught by the police and going to jail."
1613,"The sweet song of sword against sword and the braying of mighty war beasts."
1614,"A sex goblin with a carnival penis."
1615,"Genghis Khan's DNA."
1616,"A gender identity that can only be conveyed through slam poetry."
1617,"The ghost of Marlon Brando."
1618,"Immortality cream."
1619,"Butt stuff."
1620,"Getting offended."
1621,"My dad's dumb fucking face."
1622,"A bunch of idiots playing a card game instead of interacting like normal humans."
1623,"Neil Diamond's Greatest Hits."
1624,"Whatever a McRib® is made of."
1625,"Total fucking chaos."
1626,"Whispering all sexy."
1627,"Calculating every mannerism so as not to suggest homosexuality."
1628,"Some shit-hot guitar licks."
1629,"No clothes on, penis in vagina."
1630,"Sports."
1631,"How awesome I am."
1632,"The white half of Barack Obama."
1633,"An overwhelming variety of cheeses."
1634,"Ejaculating inside another man's wife."
1635,"Getting shot by the police."
1636,"Beloved television star Bill Cosby."
1637,"The tiger that killed my father."
1638,"Changing a person's mind with logic and facts."
1639,"Child Protective Services."
1640,"A peyote-fueled vision quest."
1641,"Cute boys."
1642,"A hopeless amount of spiders."
1643,"The swim team, all at once."
1644,"Whatever you wish, mother."
1645,"A possible Muslim."
1646,"All the single ladies."
1647,"Letting out 20 years' worth of farts."
1648,"Being paralyzed from the neck down."
1649,"The eight gay warlocks who dictate the rules of fashion."
1650,"Shapes and colors."
1651,"Seeing my village burned and my family slaughtered before my eyes."
1652,"Filling a man's anus with concrete."
1653,"Peeing into a girl's butt to make a baby."
1654,"Meaningless sex."
1655,"Wearing glasses and sounding smart."
1656,"Setting my balls on fire and cartwheeling to Ohio."
1657,"Child support payments."
1658,"Being John Malkovich."
1659,"Throwing stones at a man until he dies."
1660,"A shiny rock that proves I love you."
1661,"Kale."
1662,"Stuffing a child's face with Fun Dip® until he starts having fun."
1663,"A turd."
1664,"Party Mexicans."
1665,"Too much cocaine."
1666,"Like a million alligators."
1667,"Grammar nazis who are also regular Nazis."
1668,"A face full of horse cum."
1669,"Fresh dill from the patio."
1670,"Boring vaginal sex."
1671,"Crazy opium eyes."
1672,"AIDS monkeys."
1673,"Crippling social anxiety."
1674,"Not believing in giraffes."
1675,"An interracial handshake."
1676,"Irrefutable evidence that God is real."
1677,"A zero-risk way to make $2,000 from home."
1678,"My sex dungeon."
1679,"Being nine years old."
1680,"Daddy."
1681,"Unquestioning obedience."
1682,"A bass drop so huge it tears the starry vault asunder to reveal the face of God."
1683,"Sharks with legs."
1684,"Generally having no idea what's going on."
1685,"Bullets."
1686,"An unforgettable quinceañera."
1687,"Two whales fucking the shit out of each other."
1688,"A whole lotta woman."
1689,"A self-microwaving burrito."
1690,"Snorting coke off a clown's boner."
1691,"A buttload of candy."
1692,"A thrilling chase over the rooftops of Rio de Janeiro."
1693,"Dem titties."
1694,"The amount of gay I am."
1695,"My first period."
1696,"Common-sense gun control legislation."
1697,"Being a terrible mother."
1698,"Being popular and good at sports."
1699,"Never having sex again."
1700,"A giant powdery manbaby."
1701,"A crazy little thing called love."
1702,"Stupid."
1703,"The best taquito in the galaxy."
1704,"Fucking a corpse back to life."
1705,"A pizza guy who fucked up."
1706,"Ennui."
1707,"Injecting speed into one arm and horse tranquilizer into the other."
1708,"Lots and lots of abortions."
1709,"Eggs."
1710,"My worthless son."
1711,"Blowjobs for everyone."
1824,"Critical thinking.	"
1712,"Shitting all over the floor like a bad, bad girl."
1713,"An uninterrupted history of imperialism and exploitation."
1714,"The unbelievable world of mushrooms."
1715,"A horse with no legs."
1716,"Having been dead for a while."
1717,"Drinking responsibly."
1718,"Breastfeeding a ten-year-old."
1719,"Going to a high school reunion on ketamine."
1720,"Backwards knees."
1721,"Gwyneth Paltrow's opinions."
1722,"The basic suffering that pervades all of existence."
1723,"Cutting off a flamingo's legs with garden shears."
1724,"The secret formula for ultimate female satisfaction."
1725,"Seeing things from Hitler's perspective."
1726,"A constant need for validation."
1727,"Jizz."
1728,"What Jesus would do."
1729,"A Ugandan warlord."
1730,"Slowly easing down onto a cucumber."
1731,"Smoking crack, for instance."
1732,"A kiss on the lips."
1733,"The haunting stare of an Iraqi child."
1734,"A sex comet from Neptune that plunges the Earth into eternal sexiness."
1735,"Giant sperm from outer space."
1736,"The euphoric rush of strangling a drifter."
1737,"Morpheus."
1738,"Mom's new boyfriend."
1739,"Blackface."
1740,"Every ounce of charisma left in Mick Jagger's tired body."
1741,"Sudden penis loss."
1742,"Daddy's credit card."
1743,"Ripping a dog in half."
1744,"Angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of the night."
1745,"Interspecies marriage."
1746,"Cancer."
1747,"The male gaze."
1748,"Being worshipped as the one true God."
1749,"All these decorative pillows."
1750,"Unrelenting genital punishment."
1751,"Exploding pigeons."
1752,"A disappointing salad."
1753,"The dentist."
1754,"Moderate-to-severe joint pain."
1755,"Getting drive-by shot."
1756,"The black half of Barack Obama."
1757,"Western standards of beauty."
1758,"A reason not to commit suicide."
1759,"40 acres and a mule."
1760,"Such a big boy."
1761,"10 Incredible Facts About the Anus."
1762,"A manhole."
1763,"The size of my penis."
1764,"The complex geopolitical quagmire that is the Middle East."
1765,"My dead son's baseball glove."
1766,"Robots who just want to party."
1767,"A whole new kind of porn."
1768,"Ambiguous sarcasm."
1769,"Russian super-tuberculosis."
1770,"Prince Ali, fabulous he, Ali Ababwa."
1771,"Doing the right stuff to her nipples."
1772,"Ancient Athenian boy-fucking."
1773,"The eighth graders."
1774,"September 11th, 2001."
1775,"The safe word."
1776,"Doo-doo."
1777,"Blackula."
1778,"Anal fissures like you wouldn't believe."
1779,"Texas."
1780,"Going down on a woman, discovering that her vaginas is filled with eyeballs, and being totally into that."
1781,"P.F. Chang himself."
1782,"Almost giving money to a homeless person."
1783,"Depression."
1784,"Growing up chained to a radiator in perpetual darkness."
1785,"Three consecutive seconds of happiness."
1786,"Going inside at some point because of the mosquitoes."
1787,"Pussy."
1788,"Unsheathing my massive horse cock."
1789,"A woman."
1790,"Turning the rivers red with the blood of infidels."
1791,"A woman who is so cool that he rides on a motorcycle."
1792,"The peaceful and nonthreatening rise of China."
1793,"A chimpanzee in sunglasses fucking your wife."
