id,draw,play,message
341,0,1,"Ooo, daddy like ____."
343,0,1,"As reparations for slavery, all African Americans will receive ____."
344,0,1,"What's about to take this dance floor to the next level?"
345,0,1,"What are all those whales singing about?"
346,0,1,"I've got rhythm, I've got music, I've got ____. Who could ask for anything more?"
347,0,1,"Then the princess kissed the frog, and all of a sudden the frog was ____!"
348,0,1,"What turned me into a Republican?"
349,0,1,"If at first you don't succeed, try ____."
350,0,1,"Poor Brandon, still living in his parents' basement. I hear he never got over ____."
351,0,1,"Coming to Red Lobster® this month, ____."
352,0,1,"Most Americans would not vote for a candidate who is openly ____."
353,0,1,"This Friday at the Liquid Lounge, it's ____ Night! Ladies drink free."
354,0,1,"Well, shit. My eyes ain't so good, but I'll eat my own boot if that ain't ____!"
355,0,1,"CNN breaking news! Scientists discover ____."
356,0,1,"She's a lady in the streets, ____ in the sheets."
357,0,1,"There is no God. It's just ____ and then you die."
358,0,1,"Best you go back where you came from, now. We don't take too kindly to ____ in these parts."
359,0,1,"I've had a horrible vision, father. I saw mountains crumbling, stars falling from the sky. I saw ____."
360,0,1,"Oh no! Siri, how do I fix ____?"
361,0,1,"Girls just wanna have ____."
362,0,1,"What's the gayest?"
363,0,1,"Son, take it from someone who's been around the block a few times. Nothin' puts her in the mood like ____."
364,0,1,"Mom's to-do list: Buy groceries, Clean up ____, Soccer practice"
365,0,1,"What will end racism once and for all?"
366,0,1,"No, no, no, no, no, NO! I will NOT let ____ ruin this wedding."
367,0,1,"Summer lovin', had me a blast. ____, happened so fast."
368,0,1,"I'm sorry, sir, but your insurance plan doesn't cover injuries caused by ____."
369,0,1,"What sucks balls?"
370,0,1,"Errbody in the club ____."
371,0,1,"I'll take the BBQ bacon burger with a fried egg and fuck it how about ____."
372,0,1,"You won't believe what's in my pussy. It's ____."
373,0,1,"The top Google auto-complete results for ""Barack Obama"": Barack Obama height. Barack Obama net worth. Barack Obama ____."
374,0,1,"I may not be much to look at, but I fuck like ____."
375,0,1,"LSD + ____ = really bad time."
376,0,1,"Feeling so grateful! #amazing #mylife #____"
377,0,1,"Art isn't just a painting in a stuffy museum. Art is alive. Art is ____."
378,0,1,"Why am I laughing and crying and taking off my clothes?"
379,0,1,"Google Calendar alert: ____ in 10 minutes."
380,0,1,"One more thing. Watch out for Big Mike. They say he killed a man with ____."
381,0,1,"Dance like there's nobody watching, love like you'll never be hurt, and live like you're ____."
382,0,2,"____: Brought to you by ____."
383,0,1,"In the 1950s, psychologists prescribed ____ as a cure for homosexuality."
384,0,1,"Well if ____ is a crime, then lock me up!"
385,0,1,"Run, run, as fast as you can! You can't catch me, I'm ____!"
386,0,1,"What's the most problematic?"
387,0,1,"With a one-time gift of just $10, you can save this child from ____."
388,0,2,"____ be all like ____."
389,0,1,"You know who else liked ____? Hitler."
390,0,1,"What totally destroyed my asshole?"
391,0,1,"I don't believe in God. I believe in ____."
392,0,1,"She's just one of the guys, you know? She likes beer, and football, and ____."
393,0,1,"Congratulations! You have been selected for our summer internship program. While we are unable to offer a salary, we *can* offer you ____."
394,0,1,"I tell you, it was a non-stop fuckfest. When it was over, my asshole looked like ____."
395,0,1,"We do not shake with our left hands in this country. That is the hand we use for ____."
396,0,1,"As Teddy Roosevelt said, the four manly virtues are honor, temperance, industry, and ____."
