id,message
1794,"Finding a nice elevator to poop in."
1795,"An incurable homosexual."
1796,"The body of a 46-year-old man."
1797,"Mixing M&Ms and Skittles like some kind of psychopath."
1798,"Grunting for ten minutes and then peeing sand."
1799,"Gay thoughts."
1800,"When the big truck goes ""Toot! Toot!"""
1801,"Water."
1802,"Becoming the President of the United States."
1803,"Hot lettuce."
1804,"Rock-hard tits and a huge vagina."
1805,"Meatloaf, the man."
1806,"Smashing my balls at the moment of climax."
1807,"A creature made of penises that must constantly arouse itself to survive."
1808,"My brother's hot friends."
1809,"You."
1810,"Getting high with mom."
1811,"Twisting my cock and balls into a balloon poodle."
1812,"Loud, scary thunder."
1813,"Whomsoever let the dogs out."
1814,"Having a vagina."
1815,"A man with the head of a goat and the body of a goat."
1816,"Taking the form of a falcon."
1817,"A hug."
1818,"Putting more black people in jail."
1819,"Trevor, the world's greatest boyfriend."
1820,"Anal."
1821,"Just now finding out about the Armenian Genocide."
1822,"Getting the Dorito crumbs out of my pubes."
1823,"A man in a suit with perfect hair who tells you beautiful lies."
1825,"Quacking like a duck in lieu of a cogent argument."
1826,"A long business meeting with no obvious purpose."
1827,"Facilitating dialogue and deconstructing binaries."
1828,"Getting killed and dragged up a tree by a leopard."
1829,"Brunch."
1830,"Child labor."
1831,"Esmeralda, my most beautiful daughter."
1832,"The feeling of going to McDonald's as a 6-year-old."
1833,"Eating people."
1834,"Art."
1835,"Having sex with your mom."
1836,"The hottest MILF in Dallas."
1837,"Getting trapped in a conversation about Ayn Rand."
1838,"Happy daddies with happy sandals."
1839,"A dolphin that learns to talk and becomes the Dead of Harvard Law School."
1840,"The graceful path of an autumn leaf as it falls to its earthen cradle."
1841,"Meatloaf, the food."
1842,"10,000 shrieking teenage girls."
1843,"Chris Hemsworth."
1844,"Straight blazin' 24/7."
1845,"Objectifying women."
1846,"The mysterious fog rolling into town."
1847,"Math."
1848,"Restoring Germany to its former glory."
1849,"Exploring each other's buttholes."
1850,"An old dog full of tumors."
1851,"Antidepressants."
1852,"Having an awesome time drinking and driving."
1853,"Jazz."
1854,"Dumpster juice."
1855,"Raising three kids on minimum wage."
1856,"Going to bed at a reasonable hour."
1857,"10 football players with erections barreling towards you at full speed."
1858,"Working so hard to have muscles and then having them."
1859,"Turning 32."
1860,"Albert Einstein but if he had a huge muscles and a rhinoceros cock."
1861,"Assassinating the president."
1862,"A woman's right to choose."
1863,"Eternal screaming madness."
1864,"Late-stage dementia."
1865,"Consensual, nonreproductive incest."
1866,"Swearing praise upon the Sultan's hideous daughters."
1867,"A cheerfulness that belies a deep-seated self-loathing."
1868,"An arrangement wherein I give a person money they have sex with me."
1869,"A genetic predisposition for alcoholism."
1870,"The wind."
1871,"Getting pegged."
1872,"Period poops."
1873,"The chicken from Popeyes. ®"
1874,"A massive collection of child pornography."
1875,"A big, beautiful mouth packed to the brim with sparkling teeth."
1876,"Pooping in the potty."
1877,"Getting eaten out by a dog."
1878,"Munchin' puss."
1879,"It being too late to stop having sex with a horse."
1880,"One of those ""blow jobs"" I've been hearing so much about."
1881,"The lived experience of African Americans."
1882,"Prematurely ejaculating like a total loser."
1883,"Big, smart money boys tap-tapping on their keyboards."
1884,"Homework."
1885,"A finger up the butt."
1886,"Tiny, rancid girl farts."
1887,"The sweet, forbidden meat of the money."
1888,"Farting all over my face with your tight little asshole."
1889,"Doing a somersault and barfing."
