id,draw,play,message
236,0,1,"This month's Cosmo: ""Spice up your sex life by bringing ____ into the bedroom."""
237,0,1,"Next time on Dr. Phil: How to talk to your child about ____."
238,0,1,"Tonight on 20/20: What you don't know about ____ could kill you."
239,0,1,"My new favorite porn star is Joey ""____"" McGee."
240,0,2,"Michael Bay's new three-hour action epic pits ____ against ____."
241,0,2,"Before ____, all we had was ____."
242,2,3,"I went from ____ to ____ all thanks to ____."
243,0,1,"Aww, sick! I just saw this skater do a 720 kickflip into ____!"
244,0,1,"What's harshing my mellow, man?"
245,0,1,"I love being a mom. But it's tough when my kids come home filthy from ____. That's why there's Tide®."
246,0,1,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ____."
247,0,1,"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of ____."
248,0,1,"Welcome to Señor Frog's! Would you like to try our signature cocktail, ""____ on the Beach""?"
249,0,1,"Hey baby, come back to my place and I'll show you ____."
250,0,2,"You haven't truly lived until you've experienced ____ and ____ at the same time."
251,0,1,"Your persistence is admirable, my dear Prince, But you cannot win my heart with ____ alone."
252,0,2,"In a pinch, ____ can be a suitable substitute for ____."
253,0,1,"During high school, I never really fit in until I found ____ club."
254,0,1,"Little Miss Muffet sat on a tuffet, eating her curds and ____."
255,0,1,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ____."
256,0,1,"My gym teacher got fired for adding ____ to the obstacle course."
257,0,1,"The blind date was going horribly until we discovered our shared interest in ____."
258,0,1,"My country, 'tis of thee, sweet land of ____."
259,0,1,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ____ in the workplace."
260,0,1,"Members of New York's social elite are paying thousands of dollars just to experience ____."
261,0,1,"In his newest and most difficult stunt, David Blaine must escape from ____."
262,0,2,"Dear Sir or Madam, we regret to inform you that the Office of ____ has denied your request for ____."
263,0,2,"____: Hours of fun. Easy to use. Perfect for ____!"
264,0,2,"Listen, son. If you want to get involved with ____, I won't stop you. Just steer clear of ____."
265,0,1,"Next week on the Discovery Channel, one man must survive in the depths of the Amazon with only ____ and his wits."
266,0,2,"If God didn't want us to enjoy ____, he wouldn't have given us ____."
267,0,2,"My life is ruined by a vicious cycle of ____ and ____."
268,0,1,"And I would have gotten away with it, too, if it hadn't been for ____!"
269,0,1,"Legend has it Prince wouldn't perform without ____ in his dressing room."
